ORF_ID	ORF_length	start	end	Contig_Name	Contig_length	strand	ec	taxonomy	product
lagoon-sample2_34_0	752	53	805	lagoon-sample2_34	1600	+		root;cellular organisms;prokaryotes;Terrabacteria group;low GC Gram+;Clostridia Rainey 2010;Clostridiales Prevot 1953;Clostridiaceae Pribram 1933;Clostridium Prazmowski 1880 emend. Lawson and Rainey 2016; (1485)	oxaloacetate decarboxylase subunit alpha
lagoon-sample2_34_1	710	754	1464	lagoon-sample2_34	1600	+		root;cellular organisms;prokaryotes;Terrabacteria group;low GC Gram+;Clostridia Rainey 2010;Clostridiales Prevot 1953;Clostridiaceae Pribram 1933;Clostridium Prazmowski 1880 emend. Lawson and Rainey 2016; (1485)	oxaloacetate decarboxylase subunit alpha
lagoon-sample2_34_2	68	1532	1600	lagoon-sample2_34	1600	+		root; (1)	hypothetical protein
lagoon-sample2_19_0	962	3	965	lagoon-sample2_19	2707	-		root; (1)	hypothetical protein
lagoon-sample2_19_1	287	1159	1446	lagoon-sample2_19	2707	+		root; (1)	hypothetical protein
lagoon-sample2_19_2	464	1427	1891	lagoon-sample2_19	2707	+		root; (1)	hypothetical protein
lagoon-sample2_19_3	752	1953	2705	lagoon-sample2_19	2707	-		root; (1)	hypothetical protein
lagoon-sample2_93_0	461	3	464	lagoon-sample2_93	464	-		root;cellular organisms; (131567)	MULTISPECIES: amino acid permease
lagoon-sample2_62_0	587	18	605	lagoon-sample2_62	605	+		root;cellular organisms;prokaryotes;Fibrobacteres/Acidobacteria group;Cytophagales/Green sulfur bacteria group;Cytophaga-Flexibacter-Bacteroides phylum;Bacteroidia Krieg 2012;Bacteroidales Krieg 2012;Bacteroidaceae Pribram 1933;Ristella;strain XDT-1; (477666)	MULTISPECIES: magnesium transporter CorA family protein
lagoon-sample2_98_0	374	3	377	lagoon-sample2_98	378	+		root; (1)	hypothetical protein
lagoon-sample2_14_0	641	1	642	lagoon-sample2_14	970	+		root; (1)	MULTISPECIES: molybdate ABC transporter permease subunit
lagoon-sample2_14_1	326	644	970	lagoon-sample2_14	970	+		root; (1)	ATP-binding cassette domain-containing protein
lagoon-sample2_84_0	350	3	353	lagoon-sample2_84	355	+		root; (1)	Ig-like domain-containing protein
lagoon-sample2_38_0	209	251	460	lagoon-sample2_38	461	+		root;cellular organisms;prokaryotes;Terrabacteria group;low GC Gram+;Clostridia Rainey 2010;Clostridiales Prevot 1953;Clostridiaceae Pribram 1933;Clostridium Prazmowski 1880 emend. Lawson and Rainey 2016; (1485)	NAD(+) synthase
lagoon-sample2_27_0	65	406	471	lagoon-sample2_27	471	+		root; (1)	hypothetical protein
27_0_rRNA	0	1	220	lagoon-sample2_27	0	+		root; (1)	16S rRNA
lagoon-sample2_36_0	461	2	463	lagoon-sample2_36	1113	+		root;cellular organisms;prokaryotes;Terrabacteria group;low GC Gram+;Tissierellia;unclassified Tissierellia;Sedimentibacter Breitenstein et al. 2002; (190972)	asparagine--tRNA ligase
lagoon-sample2_36_1	191	821	1012	lagoon-sample2_36	1113	-		unclassified Tissierellia	MULTISPECIES: 50S ribosomal protein L28
lagoon-sample2_69_0	338	2	340	lagoon-sample2_69	3873	+		root;cellular organisms;prokaryotes;purple photosynthetic bacteria and relatives;not Thiobacteria Cavalier-Smith 2002;delta subgroup;Desulfovibrionales Kuever et al. 2006;Desulfomicrobiaceae Kuever et al. 2006 emend. Watanabe et al. 2015;Desulfomicrobium Rozanova et al. 1994 emend. Dias et al. 2008; (898)	NAD(P)-dependent glycerol-3-phosphate dehydrogenase
lagoon-sample2_69_1	401	344	745	lagoon-sample2_69	3873	-		root;cellular organisms;prokaryotes;purple photosynthetic bacteria and relatives;not Thiobacteria Cavalier-Smith 2002;delta subgroup;Desulfovibrionales Kuever et al. 2006;Desulfomicrobiaceae Kuever et al. 2006 emend. Watanabe et al. 2015;Desulfomicrobium Rozanova et al. 1994 emend. Dias et al. 2008; (898)	YjbQ family protein
lagoon-sample2_69_2	410	739	1149	lagoon-sample2_69	3873	-		root;cellular organisms;prokaryotes;purple photosynthetic bacteria and relatives;not Thiobacteria Cavalier-Smith 2002;delta subgroup;Desulfovibrionales Kuever et al. 2006;Desulfomicrobiaceae Kuever et al. 2006 emend. Watanabe et al. 2015;Desulfomicrobium Rozanova et al. 1994 emend. Dias et al. 2008; (898)	ATP-binding protein
lagoon-sample2_69_3	815	1151	1966	lagoon-sample2_69	3873	-		root;cellular organisms;prokaryotes;purple photosynthetic bacteria and relatives;not Thiobacteria Cavalier-Smith 2002;delta subgroup;Desulfovibrionales Kuever et al. 2006;Desulfomicrobiaceae Kuever et al. 2006 emend. Watanabe et al. 2015;Desulfomicrobium Rozanova et al. 1994 emend. Dias et al. 2008; (898)	SpoIIE family protein phosphatase
lagoon-sample2_69_4	281	1991	2272	lagoon-sample2_69	3873	-		root;cellular organisms;prokaryotes;purple photosynthetic bacteria and relatives;not Thiobacteria Cavalier-Smith 2002;delta subgroup;Desulfovibrionales Kuever et al. 2006;Desulfomicrobiaceae Kuever et al. 2006 emend. Watanabe et al. 2015;Desulfomicrobium Rozanova et al. 1994 emend. Dias et al. 2008; (898)	SpoIIE family protein phosphatase
lagoon-sample2_69_5	1247	2349	3596	lagoon-sample2_69	3873	-		root;cellular organisms;prokaryotes;purple photosynthetic bacteria and relatives;not Thiobacteria Cavalier-Smith 2002;delta subgroup;Desulfovibrionales Kuever et al. 2006;Desulfomicrobiaceae Kuever et al. 2006 emend. Watanabe et al. 2015;Desulfomicrobium Rozanova et al. 1994 emend. Dias et al. 2008;strain ESC 1; (29503)	M48 family metallopeptidase
69_0_tRNA	71	3715	3786	lagoon-sample2_69	3873	+		root; (1)	tRNA-Val
lagoon-sample2_112_0	347	3	350	lagoon-sample2_112	350	+		root; (1)	hypothetical protein
lagoon-sample2_64_0	515	3	518	lagoon-sample2_64	519	+		root; (1)	hypothetical protein
lagoon-sample2_25_0	320	1	321	lagoon-sample2_25	404	+		root; (1)	hypothetical protein
25_0_rRNA	0	166	404	lagoon-sample2_25	0	+		root; (1)	16S rRNA
lagoon-sample2_9_0	65	258	323	lagoon-sample2_9	325	+		root; (1)	hypothetical protein
9_0_tRNA	72	252	324	lagoon-sample2_9	325	+		root; (1)	tRNA-Thr
1_0_rRNA	0	1	333	lagoon-sample2_1	0	+		root; (1)	16S rRNA
lagoon-sample2_80_0	311	1	312	lagoon-sample2_80	314	-		root;cellular organisms;prokaryotes;Terrabacteria group;low GC Gram+; (1239)	glycine/sarcosine/betaine reductase component B subunit
lagoon-sample2_102_0	338	3	341	lagoon-sample2_102	342	-		root; (1)	hypothetical protein
lagoon-sample2_55_0	368	1	369	lagoon-sample2_55	398	+		root;cellular organisms;prokaryotes;Terrabacteria group;low GC Gram+;Clostridia Rainey 2010;Clostridiales Prevot 1953;unclassified Clostridiales;Intestinimonas Klaring et al. 2013;strain SRB-521-5-I; (1297617)	MULTISPECIES: GPR endopeptidase
lagoon-sample2_40_0	266	72	338	lagoon-sample2_40	339	+		root;cellular organisms;prokaryotes;Terrabacteria group;low GC Gram+;Clostridia Rainey 2010;Clostridiales Prevot 1953;Clostridiaceae Pribram 1933;Clostridium Prazmowski 1880 emend. Lawson and Rainey 2016; (1485)	MBL fold metallo-hydrolase
lagoon-sample2_10_0	110	1	111	lagoon-sample2_10	8155	-		root; (1)	hypothetical protein
lagoon-sample2_10_1	629	363	992	lagoon-sample2_10	8155	-		root; (1)	hypothetical protein
lagoon-sample2_10_2	2432	1119	3551	lagoon-sample2_10	8155	+		root; (1)	hypothetical protein
lagoon-sample2_10_3	1091	3943	5034	lagoon-sample2_10	8155	+		root; (1)	hypothetical protein
lagoon-sample2_10_4	1295	5226	6521	lagoon-sample2_10	8155	+		root; (1)	hypothetical protein
lagoon-sample2_10_5	638	6555	7193	lagoon-sample2_10	8155	+		root; (1)	hypothetical protein
lagoon-sample2_10_6	572	7583	8155	lagoon-sample2_10	8155	-		root; (1)	hypothetical protein
10_1_tRNA	72	7290	7362	lagoon-sample2_10	8155	+		root; (1)	tRNA-Asn
10_0_tRNA	72	3593	3665	lagoon-sample2_10	8155	+		root; (1)	tRNA-Asn
lagoon-sample2_81_0	485	1	486	lagoon-sample2_81	486	-		root;cellular organisms;prokaryotes;Terrabacteria group;low GC Gram+;Firmibacteria Murray 1988;Lactobacillales Ludwig et al. 2010;Carnobacteriaceae Ludwig et al. 2010;Trichococcus Scheff et al. 1984 emend. Liu et al. 2002; (82802)	MULTISPECIES: MetQ/NlpA family ABC transporter substrate-binding protein
lagoon-sample2_21_0	95	2	97	lagoon-sample2_21	706	-		root; (1)	hypothetical protein
lagoon-sample2_21_1	614	90	704	lagoon-sample2_21	706	-		root; (1)	hypothetical protein
lagoon-sample2_2_0	227	3	230	lagoon-sample2_2	470	+		root; (1)	hypothetical protein
lagoon-sample2_2_1	167	302	469	lagoon-sample2_2	470	-		root; (1)	hypothetical protein
lagoon-sample2_18_0	503	2	505	lagoon-sample2_18	595	+		root;cellular organisms;prokaryotes;Terrabacteria group;low GC Gram+;Firmibacteria Murray 1988;Lactobacillales Ludwig et al. 2010;Carnobacteriaceae Ludwig et al. 2010;Trichococcus Scheff et al. 1984 emend. Liu et al. 2002; (82802)	PTS system mannose/fructose/sorbose family transporter subunit IID
lagoon-sample2_32_0	245	25	270	lagoon-sample2_32	746	+		root;cellular organisms;prokaryotes;Terrabacteria group;low GC Gram+;Tissierellia;unclassified Tissierellia;Sedimentibacter Breitenstein et al. 2002; (190972)	MULTISPECIES: DUF1292 domain-containing protein
lagoon-sample2_32_1	443	302	745	lagoon-sample2_32	746	+		root;cellular organisms;prokaryotes;Terrabacteria group;low GC Gram+;Tissierellia;unclassified Tissierellia;Sedimentibacter Breitenstein et al. 2002; (190972)	Ferric uptake regulator, Fur family # K03711
lagoon-sample2_76_0	242	3	245	lagoon-sample2_76	339	-		root;cellular organisms;prokaryotes;purple photosynthetic bacteria and relatives;gamma subgroup;gamma-3 proteobacteria; (91347)	neurotensin receptor R8
lagoon-sample2_43_0	644	3	647	lagoon-sample2_43	649	+		root; (1)	hypothetical protein
lagoon-sample2_117_0	479	2	481	lagoon-sample2_117	483	+		root; (1)	hypothetical protein
lagoon-sample2_17_0	491	3	494	lagoon-sample2_17	496	+		root;cellular organisms;prokaryotes;Terrabacteria group;green nonsulfur bacteria;Anaerolineae Yamada et al. 2006;Anaerolineales Yamada et al. 2006;Anaerolineaceae Yamada et al. 2006; (292628)	glycosyltransferase family 4 protein
lagoon-sample2_105_0	230	83	313	lagoon-sample2_105	315	-		root; (1)	hypothetical protein
11_0_rRNA	0	1	223	lagoon-sample2_11	0	+		root; (1)	16S rRNA
lagoon-sample2_94_0	638	1	639	lagoon-sample2_94	1533	+		root; (1)	hypothetical protein
lagoon-sample2_94_1	374	691	1065	lagoon-sample2_94	1533	+		root; (1)	hypothetical protein
lagoon-sample2_94_2	374	1157	1531	lagoon-sample2_94	1533	+		root; (1)	# GT2 # bacteria #
lagoon-sample2_113_0	80	3	83	lagoon-sample2_113	2371	-		root; (1)	hypothetical protein
lagoon-sample2_113_1	911	70	981	lagoon-sample2_113	2371	-		root; (1)	hypothetical protein
lagoon-sample2_113_2	1178	1192	2370	lagoon-sample2_113	2371	-		root; (1)	hypothetical protein
lagoon-sample2_83_0	329	2	331	lagoon-sample2_83	331	-		root;cellular organisms;prokaryotes;purple photosynthetic bacteria and relatives;not Thiobacteria Cavalier-Smith 2002;delta subgroup;Desulfovibrionales Kuever et al. 2006;Desulfomicrobiaceae Kuever et al. 2006 emend. Watanabe et al. 2015;Desulfomicrobium Rozanova et al. 1994 emend. Dias et al. 2008;strain ESC 1; (29503)	MULTISPECIES: sigma-54-dependent Fis family transcriptional regulator
lagoon-sample2_30_0	2030	171	2201	lagoon-sample2_30	2201	-		root; (1)	hypothetical protein
lagoon-sample2_52_0	326	1	327	lagoon-sample2_52	329	+		root;cellular organisms;prokaryotes;Fibrobacteres/Acidobacteria group;Cytophagales/Green sulfur bacteria group;Cytophaga-Flexibacter-Bacteroides phylum;Bacteroidia Krieg 2012;Bacteroidales Krieg 2012; (171549)	FtsX-like permease family protein
lagoon-sample2_48_0	386	1	387	lagoon-sample2_48	388	-		root;cellular organisms;prokaryotes;Terrabacteria group;low GC Gram+;Clostridia Rainey 2010;Clostridiales Prevot 1953; (186802)	terminase large subunit
lagoon-sample2_87_0	86	1	87	lagoon-sample2_87	496	-		root; (1)	hypothetical protein
lagoon-sample2_87_1	350	146	496	lagoon-sample2_87	496	-		root;cellular organisms;prokaryotes;Terrabacteria group;low GC Gram+;Clostridia Rainey 2010;Clostridiales Prevot 1953;Clostridiaceae Pribram 1933;Clostridium Prazmowski 1880 emend. Lawson and Rainey 2016; (1485)	DUF1292 domain-containing protein
lagoon-sample2_13_0	407	2	409	lagoon-sample2_13	472	-		root;cellular organisms;prokaryotes;Terrabacteria group;low GC Gram+;Firmibacteria Murray 1988;Lactobacillales Ludwig et al. 2010;Carnobacteriaceae Ludwig et al. 2010;Trichococcus Scheff et al. 1984 emend. Liu et al. 2002; (82802)	peptide ABC transporter substrate-binding protein
lagoon-sample2_63_0	1415	1	1416	lagoon-sample2_63	2170	+		root;cellular organisms;prokaryotes;Terrabacteria group;low GC Gram+;Firmibacteria Murray 1988;Lactobacillales Ludwig et al. 2010;Carnobacteriaceae Ludwig et al. 2010;Trichococcus Scheff et al. 1984 emend. Liu et al. 2002; (82802)	MULTISPECIES: copper-translocating P-type ATPase
lagoon-sample2_63_1	251	1434	1685	lagoon-sample2_63	2170	+		root; (1)	hypothetical protein
lagoon-sample2_63_2	203	1769	1972	lagoon-sample2_63	2170	+		root;cellular organisms;prokaryotes;Terrabacteria group;low GC Gram+;Firmibacteria Murray 1988;Lactobacillales Ludwig et al. 2010;Carnobacteriaceae Ludwig et al. 2010;Trichococcus Scheff et al. 1984 emend. Liu et al. 2002; (82802)	MULTISPECIES: heavy-metal-associated domain-containing protein
lagoon-sample2_53_0	434	3	437	lagoon-sample2_53	438	+		root; (1)	hypothetical protein
lagoon-sample2_26_0	188	146	334	lagoon-sample2_26	1942	+		root; (1)	hypothetical protein
26_0_rRNA	0	115	361	lagoon-sample2_26	0	+		root; (1)	16S rRNA
lagoon-sample2_20_0	332	3	335	lagoon-sample2_20	337	-		root; (1)	hypothetical protein
lagoon-sample2_95_0	404	1	405	lagoon-sample2_95	407	-		root; (1)	hypothetical protein
lagoon-sample2_78_0	356	2	358	lagoon-sample2_78	358	+		root;cellular organisms;prokaryotes; (2157)	ABC transporter substrate-binding protein
lagoon-sample2_100_0	383	3	386	lagoon-sample2_100	759	+		root; (1)	hypothetical protein
lagoon-sample2_100_1	389	368	757	lagoon-sample2_100	759	+		root; (1)	hypothetical protein
lagoon-sample2_86_0	263	3	266	lagoon-sample2_86	348	-		root;cellular organisms;prokaryotes;purple photosynthetic bacteria and relatives;gamma subgroup;gamma-3 proteobacteria; (91347)	hypothetical protein
lagoon-sample2_74_0	344	3	347	lagoon-sample2_74	414	-		root;cellular organisms;prokaryotes;purple photosynthetic bacteria and relatives;not Thiobacteria Cavalier-Smith 2002;delta subgroup;Desulfovibrionales Kuever et al. 2006;Desulfomicrobiaceae Kuever et al. 2006 emend. Watanabe et al. 2015;Desulfomicrobium Rozanova et al. 1994 emend. Dias et al. 2008; (898)	pitrilysin
lagoon-sample2_101_0	980	1	981	lagoon-sample2_101	2223	+		root; (1)	# GT2 # bacteria #
lagoon-sample2_101_1	662	1000	1662	lagoon-sample2_101	2223	+		root; (1)	hypothetical protein
lagoon-sample2_101_2	509	1713	2222	lagoon-sample2_101	2223	-		root; (1)	hypothetical protein
lagoon-sample2_66_0	689	2	691	lagoon-sample2_66	821	-		root;cellular organisms;prokaryotes;Terrabacteria group;low GC Gram+;Clostridia Rainey 2010;Clostridiales Prevot 1953;Clostridiaceae Pribram 1933;Clostridium Prazmowski 1880 emend. Lawson and Rainey 2016; (1485)	voltage-gated chloride channel family protein
lagoon-sample2_66_1	179	642	821	lagoon-sample2_66	821	-		root; (1)	hypothetical protein
lagoon-sample2_77_0	425	2	427	lagoon-sample2_77	429	+		root;cellular organisms;prokaryotes;purple photosynthetic bacteria and relatives;not Thiobacteria Cavalier-Smith 2002;delta subgroup;Desulfovibrionales Kuever et al. 2006;Desulfomicrobiaceae Kuever et al. 2006 emend. Watanabe et al. 2015;Desulfomicrobium Rozanova et al. 1994 emend. Dias et al. 2008; (898)	phosphonate C-P lyase system protein PhnH
lagoon-sample2_79_0	320	9	329	lagoon-sample2_79	330	-		root;cellular organisms;prokaryotes;Terrabacteria group;low GC Gram+;Clostridia Rainey 2010;Clostridiales Prevot 1953; (186802)	TlpA family protein disulfide reductase
lagoon-sample2_33_0	986	3	989	lagoon-sample2_33	1275	+		root;cellular organisms;prokaryotes;Terrabacteria group;low GC Gram+;Firmibacteria Murray 1988;Lactobacillales Ludwig et al. 2010;Carnobacteriaceae Ludwig et al. 2010;Trichococcus Scheff et al. 1984 emend. Liu et al. 2002; (82802)	30S ribosomal protein S1 # K02945
lagoon-sample2_33_1	107	1167	1274	lagoon-sample2_33	1275	+		root; (1)	hypothetical protein
lagoon-sample2_61_0	329	3	332	lagoon-sample2_61	333	+		root;cellular organisms;prokaryotes;Terrabacteria group;low GC Gram+;Clostridia Rainey 2010;Clostridiales Prevot 1953;Clostridiaceae Pribram 1933; (31979)	Fe-only nitrogenase accessory protein AnfO
lagoon-sample2_57_0	323	2	325	lagoon-sample2_57	326	-		root; (1)	amidohydrolase
lagoon-sample2_68_0	299	1	300	lagoon-sample2_68	610	+		root; (1)	hypothetical protein
lagoon-sample2_46_0	1019	2	1021	lagoon-sample2_46	1021	-		root; (1)	hypothetical protein
